x,y,z
4.403428357065296561e-01,1.676460220853423222e-01,6.627240643853753443e-01
4.497016814570257148e-01,1.710831749806857038e-01,6.619507824270338681e-01
4.592343022642694228e-01,1.740306630643913555e-01,6.612863773836399339e-01
4.689136405357152704e-01,1.764809034472036020e-01,6.607325607073786244e-01
4.787123491976844059e-01,1.784277153947793904e-01,6.602907319037635281e-01
4.886028659001499519e-01,1.798663196449355184e-01,6.599619786203025917e-01
4.985574852154326386e-01,1.807933331836915347e-01,6.597470777479895743e-01
5.085484283288714824e-01,1.812067604659536313e-01,6.596464973165465651e-01
5.185479100057611701e-01,1.811059814692478620e-01,6.596603990971227072e-01
5.285282026687734280e-01,1.804917369961310802e-01,6.597886418200499259e-01
5.384616974756589736e-01,1.793661116613561868e-01,6.600307849106551439e-01
5.483209623476336114e-01,1.777325150161565837e-01,6.603860926424519606e-01
5.580787969649587676e-01,1.755956612736507827e-01,6.608535386043863369e-01
5.677082848184518138e-01,1.729615481056177295e-01,6.614318103773574320e-01
5.771828424847138539e-01,1.698374349807616479e-01,6.621193143151979932e-01
5.864762663795304309e-01,1.662318215067306038e-01,6.629141803269719135e-01
5.955627773389819968e-01,1.621544262208060860e-01,6.638142665612288829e-01
6.044170634820006383e-01,1.576161662450169809e-01,6.648171638992604882e-01
6.130143219218892048e-01,1.526291381774711742e-01,6.659202001740920362e-01
6.213303000176418900e-01,1.472066005291618740e-01,6.671204440457643159e-01
6.293413369878777530e-01,1.413629579297343009e-01,6.684147084824434426e-01
6.370244068485451105e-01,1.351137472110662818e-01,6.697995538223024958e-01
6.443571637758923609e-01,1.284756253274936255e-01,6.712712904244027001e-01
6.513179911310181813e-01,1.214663588788479492e-01,6.728259809595843466e-01
6.578860554996842636e-01,1.141048147597444606e-01,6.744594424463244975e-01
6.640413671829286102e-01,1.064109511591002227e-01,6.761672482031262366e-01
6.697648485942021557e-01,9.840580777353293007e-02,6.779447299692230589e-01
6.750384119407863981e-01,9.011149367815361744e-02,6.797869805390068798e-01
6.798450473424253460e-01,8.155117082878923784e-02,6.816888573603412382e-01
6.841689221066156179e-01,7.274903067660182243e-02,6.836449876571458750e-01
6.879954911648413773e-01,6.373026090826386381e-02,6.856497757415939143e-01
6.913116176008047287e-01,5.452099896351612213e-02,6.876974132631513692e-01
6.941057007096523845e-01,4.514826884943328594e-02,6.897818931741660498e-01
6.963678071114320911e-01,3.563989803406160395e-02,6.918970281413096002e-01
6.980897982344450581e-01,2.602441206096606924e-02,6.940364739758453361e-01
6.992654454373999906e-01,1.633090617679915785e-02,6.961937585374269322e-01
6.998905238093696690e-01,6.588896356736421989e-03,6.983623202169275679e-01
